"","country","isocode","ison","region","language","date","id_gallup","wgt","patience","risktaking","posrecip","negrecip","altruism","trust","subj_math_skills","gender","age"
"80","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000080,0.271782882091771,-0.420622199773788,-0.205423027276993,-0.805481433868408,0.913676738739014,-0.459346920251846,0.585773646831512,7,0,33
"81","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000081,0.271782882091771,-0.93077290058136,0.958213686943054,-2.22022938728333,-0.802461683750153,-2.23319816589355,-1.23752725124359,1,1,28
"82","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000082,1.64567611675563,-0.93077290058136,0.958213686943054,-2.81554365158081,-1.22078728675842,-1.97258245944977,-1.60218739509583,1,1,37
"83","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000083,0.442259366468223,-1.31338584423065,0.455565214157104,-2.81554365158081,-1.58645987510681,-2.56386613845825,-1.96684753894806,6,1,21
"84","Turkey","TUR",792,"Ankara","Turkish",2012-03-06,7100800000084,1.54858952912127,-0.93077290058136,0.706889390945435,-1.55706512928009,-0.436789184808731,-1.64191436767578,-1.23752725124359,4,0,59
"85","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000085,1.03922456859547,-0.787232935428619,0.706889390945435,-2.88339352607727,-0.898176550865173,-1.94923162460327,-0.872867047786713,1,1,29
"86","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000086,0.271782882091771,-0.93077290058136,1.20953798294067,-2.58573651313782,-0.802461683750153,-1.94923162460327,-1.23752725124359,6,1,30
"87","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000087,0.294839577645482,-0.93077290058136,0.449887692928314,-3.11320066452026,-1.19446074962616,-1.97258245944977,-1.60218739509583,1,1,23
"88","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000088,0.271782882091771,-0.93077290058136,0.706889390945435,-3.11320066452026,-1.34260296821594,-1.97258245944977,-1.23752725124359,5,1,20
"89","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000089,0.271782882091771,-0.462974637746811,0.706889390945435,-1.62491524219513,-0.140279069542885,-1.52891874313354,-1.23752725124359,2,1,25
"90","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000090,1.54858952912127,-0.335436940193176,0.204240947961807,-1.92257225513458,-0.288421183824539,-2.06974315643311,-0.143546685576439,4,0,65
"91","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000091,1.19019134550696,-0.0803616270422935,0.706889390945435,-1.92257225513458,-0.410462617874146,-0.606967031955719,-0.872867047786713,5,1,23
"92","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000092,1.31233876840856,-1.31338584423065,0.455565214157104,-2.81554365158081,-1.29017555713654,-2.58721685409546,-1.23752725124359,3,0,36
"93","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000093,0.271782882103893,-0.335436940193176,0.706889390945435,-2.81554365158081,-0.654319643974304,-0.988094329833984,-1.60218739509583,1,1,35
"94","Turkey","TUR",792,"Ankara","Turkish",2012-03-06,7100800000094,0.325098489134586,-0.93077290058136,0.781343519687653,-2.45003628730774,-0.584931373596191,-2.06974315643311,-1.96684753894806,0,0,35
"95","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000095,0.301775213154411,-1.31338584423065,1.20953798294067,-2.88339352607727,-0.898176550865173,-1.29541158676147,-1.23752725124359,3,1,32
"96","Turkey","TUR",792,"Ankara","Turkish",2012-03-05,7100800000096,2.19423482234084,-0.803235232830048,0.706889390945435,-1.62491524219513,-0.114178381860256,-1.64567232131958,-0.872867047786713,0,1,40
"97","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000097,1.03922456859547,0.0471760481595993,1.03266775608063,-1.69276523590088,0.861249446868896,-0.299649834632874,-0.508206844329834,5,1,30
"98","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000098,1.5588368528932,-0.548159837722778,-0.618120014667511,-0.0687799602746964,1.25324857234955,-0.299649834632874,0.585773646831512,5,1,33
"99","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000099,0.271782882091771,0.536150574684143,0.666463136672974,-1.02960109710693,1.00939154624939,-0.299649834632874,0.585773646831512,8,0,23
"100","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000100,0.461915470963366,-0.548159837722778,0.635468244552612,-0.298587083816528,1.13143301010132,0.781998932361603,0.585773646831512,8,0,33
"101","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000101,0.767247190018592,-0.548159837722778,0.576511561870575,-1.02960109710693,1.13143301010132,0.47468176484108,0.950433790683746,7,0,55
"102","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000102,0.307943647308911,-0.548159837722778,0.104857914149761,-1.02960109710693,1.54953277111053,0.855809032917023,0.585773646831512,7,0,27
"103","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000103,0.924978399316389,-0.675697505474091,0.0459012091159821,-1.62491524219513,0.88757598400116,0.167364507913589,0.585773646831512,6,1,48
"104","Turkey","TUR",792,"Ankara","Turkish",2012-03-09,7100800000104,1.10643127253664,-0.675697505474091,0.371679574251175,-0.00092999468324706,0.521451771259308,-0.914284348487854,0.585773646831512,7,0,46
"105","Turkey","TUR",792,"Ankara","Turkish",2012-03-12,7100800000105,0.294839577645482,2.05625462532043,0.489592999219894,-1.09745109081268,1.54953277111053,0.314984649419785,0.950433790683746,6,1,21
"106","Turkey","TUR",792,"Ankara","Turkish",2012-03-12,7100800000106,0.529017319749657,2.05625462532043,0.489592999219894,-0.434286952018738,1.30567586421967,0.00766741577535868,0.950433790683746,6,0,24
"107","Turkey","TUR",792,"Ankara","Turkish",2012-03-11,7100800000107,0.615887294617821,1.96589541435242,-1.01835250854492,-0.799794018268585,1.69767498970032,0.081477478146553,1.31509399414062,5,0,25
"108","Turkey","TUR",792,"Ankara","Turkish",2012-03-11,7100800000108,1.44389764499243,1.96589541435242,0.253766149282455,-0.799794018268585,1.67134833335876,0.081477478146553,1.31509399414062,6,0,26
"109","Turkey","TUR",792,"Ankara","Turkish",2012-03-12,7100800000109,0.461915470963366,1.96589541435242,0.607506394386292,-0.799794018268585,1.54953277111053,0.314984649419785,0.950433790683746,5,0,30
"110","Turkey","TUR",792,"Ankara","Turkish",2012-03-12,7100800000110,0.271782882091771,1.96589541435242,0.489592999219894,-1.09745109081268,1.42771732807159,-0.225839748978615,0.950433790683746,5,1,49
"111","Turkey","TUR",792,"Ankara","Turkish",2012-03-11,7100800000111,0.294839577645482,1.8755362033844,0.371679574251175,-0.73194408416748,1.54953277111053,0.314984649419785,0.950433790683746,7,1,20
"112","Turkey","TUR",792,"Ankara","Turkish",2012-03-11,7100800000112,0.721948822496216,2.00307393074036,-1.4465469121933,-0.799794018268585,1.94153189659119,0.388794720172882,1.31509399414062,9,0,31
"113","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000113,0.271782882103893,-0.675697505474091,0.0738630592823029,1.02774119377136,1.72400140762329,0.314984649419785,0.221113488078117,7,1,40
"114","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000114,0.325098489134586,-0.675697505474091,0.132819771766663,0.662234127521515,1.72400140762329,0.314984649419785,0.221113488078117,7,0,37
"115","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000115,0.271782882091771,-0.675697505474091,0.132819771766663,1.02774119377136,1.72400140762329,0.548491835594177,0.221113488078117,7,1,33
"116","Turkey","TUR",792,"Ankara","Turkish",2012-03-11,7100800000116,0.271782882103893,-0.675697505474091,0.266230583190918,1.02774119377136,1.72400140762329,0.548491835594177,0.221113488078117,7,1,37
"117","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000117,1.09711741117042,-0.675697505474091,0.132819771766663,0.662234127521515,1.84604287147522,0.622301936149597,-0.143546685576439,6,1,35
"118","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000118,0.325098489134586,-0.675697505474091,0.132819771766663,0.662234127521515,1.96785843372345,1.39663350582123,-0.143546685576439,6,0,42
"119","Turkey","TUR",792,"Ankara","Turkish",2012-03-10,7100800000119,0.543565764207786,-0.675697505474091,0.148317188024521,1.02774119377136,1.72400140762329,0.314984649419785,0.221113488078117,7,1,37
"120","Turkey","TUR",792,"Ankara","Turkish",2012-03-11,7100800000120,0.543565764207786,-0.548159837722778,0.266230583190918,1.02774119377136,1.72400140762329,-0.0819775387644768,0.221113488078117,7,1,37
