"respid","LOCALRATING","COMATTACH","INFLUENCE","LOCMED_INTOUCH","NEWS_LEVELa","NEWS_LEVELb","NEWS_LEVELc","NEWS_LEVELd","LOCNEWSWEBa","LOCNEWSWEBb","NEWSALERTS","LOCAL_PREFER","PROVIDERa","PROVIDERb","PROVIDERc","PROVIDERd","PROVIDERe","PROVIDERf","PROVIDERg","PROVIDERh","PROVIDERi","PROV_PLATFORMa","PROV_PLATFORMb","PROV_PLATFORMc","PROV_PLATFORMd","PROV_PLATFORMe","PROV_PLATFORMf","PROV_PLATFORMg","PROV_PLATFORMh","PROV_PLATFORMi","PROV_PEOPLE1","PROV_PEOPLE2","LOCNEWS_COVERAGE1","ROLEVALUES1","ROLEVALUES2","JOBVALUESa","JOBVALUESb","JOBVALUESc","JOBVALUESd","JOBVALUESe","JOBVALUESf","JOBVALUESg","MAIN_CONF","TOPICIMPORTa","TOPICIMPORTb","TOPICIMPORTc","TOPICIMPORTd","TOPICIMPORTe","TOPICIMPORTf","TOPICIMPORTg","TOPICIMPORTh","TOPICIMPORTi","TOPICIMPORTj","TOPICIMPORTk","TOPICINFOa","TOPICINFOb","TOPICINFOc","TOPICINFOd","TOPICINFOe","TOPICINFOf","TOPICINFOg","TOPICINFOh","TOPICINFOi","TOPICINFOj","TOPICINFOk","NEWSCONTRIB","INTERNET_IMPT","SOCMEDIA_IMPT","SOCMEDIA_ATTN","DIG_FEATURESa","DIG_FEATURESb","DIG_FEATURESc","DIG_FEATURESd","DIG_FEATURESe","DIG_FEATURESg","LOCAL_DEVICE","LOCALMEDIA_JOB","ROLECONNECTEDa","ROLECONNECTEDc","ROLECONNECTEDd","TALKJOUR","LOCALOPINIONS","LOCALACTIVITYa","LOCALACTIVITYb","LOCALACTIVITYc","LOCALACTIVITYd","LOCALACTIVITYf","FINANCE","LOCAL_NEWS_PAY","LOCAL_NEWS_DONT_PAY","LOCALGROUPSa","LOCALGROUPSb","LOCALGROUPSc","LOCALGROUPSd","LOCALGROUPSf","LOCALGROUPSg","LOCALGROUPSh","LOCALGROUPSi","F_METRO","F_CREGION","F_USR_SELFID","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_RACETHN","F_MARITAL","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_ACSWEB","F_VOLSUM","LOCAL_AREA","WEIGHT"
12733,3,3,1,1,2,2,2,2,2,2,1,4,2,2,4,2,2,4,4,2,4,1,1,NA,1,2,NA,NA,2,NA,2,2,1,5,3,1,1,2,2,2,2,1,2,2,2,1,3,3,1,2,1,3,3,1,2,2,2,3,2,3,2,3,3,3,3,2,2,2,2,2,2,1,2,1,1,2,2,2,3,3,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,2,2,2,1,3,1,1,1,1,5,4,6,2,NA,2,3,3,2,1,2,"30460",4.8054137467
12734,2,2,2,1,3,1,1,1,1,1,1,5,1,3,2,2,2,3,3,2,1,2,3,3,3,3,4,4,2,2,2,3,1,5,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,3,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,3,2,1,1,3,2,2,4,2,1,1,2,"27260",1.3304079962
12735,2,2,2,1,2,2,1,1,3,4,2,3,1,3,4,3,3,2,4,4,4,1,1,NA,1,1,1,NA,NA,NA,3,1,2,5,1,2,2,2,2,1,2,2,2,2,2,1,3,3,3,4,4,3,2,2,2,2,1,2,2,2,NA,NA,1,2,2,2,2,NA,NA,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,4,2,4,2,2,3,1,1,2,NA,2,6,2,1,1,2,"31080",0.4354312486
12736,1,2,2,1,2,2,1,1,1,2,2,5,2,1,3,1,2,2,2,2,4,1,2,1,1,1,4,2,2,NA,1,1,1,5,6,1,1,1,1,1,1,1,2,2,2,1,2,2,1,4,2,2,2,2,1,2,1,2,1,1,NA,3,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,4,1,2,2,2,2,2,2,3,1,NA,1,1,1,1,2,2,2,2,1,1,2,2,2,1,6,1,1,2,NA,2,8,1,1,1,1,"00004",0.7034926294
12737,2,3,1,1,2,2,1,3,1,2,2,3,1,2,4,2,4,2,3,2,4,1,1,NA,1,NA,2,2,2,NA,2,1,1,5,1,1,1,1,2,1,1,1,2,1,2,1,2,3,1,4,2,2,3,1,1,3,1,2,3,1,NA,3,2,1,3,2,2,2,1,1,2,1,1,1,1,3,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,3,1,1,2,1,5,2,6,2,NA,2,3,3,1,1,1,"26420",0.6011677583
12738,1,2,2,1,2,1,1,2,4,4,1,3,1,1,3,1,3,4,1,3,4,1,1,99,99,99,NA,1,99,NA,2,1,1,6,2,1,1,1,2,1,1,1,1,2,2,1,3,3,3,4,4,1,4,1,2,2,1,2,1,2,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,3,2,3,1,1,2,1,2,2,2,2,1,2,3,4,2,3,2,1,1,2,NA,2,5,2,1,1,2,"33460",0.8670663777
12739,2,2,2,1,1,2,3,4,2,3,2,5,4,3,4,2,4,2,3,2,4,NA,2,NA,1,NA,3,2,2,NA,2,3,1,6,1,2,1,1,1,2,2,2,2,2,2,1,2,2,1,3,3,2,3,2,1,2,1,3,2,2,3,2,3,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,3,2,4,1,1,2,1,2,2,2,2,1,4,2,3,2,1,6,1,3,2,NA,2,4,2,1,1,2,"42660",0.6654092552
12740,2,1,1,1,2,2,1,1,4,3,1,3,1,2,3,2,3,4,4,4,4,1,1,1,1,1,NA,NA,NA,NA,1,1,1,5,7,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,3,2,3,1,2,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,2,3,2,3,3,1,NA,1,4,2,1,1,2,"33100",1.1350789623
12741,2,3,1,1,4,3,3,3,4,2,1,1,3,1,1,3,1,3,3,2,4,1,1,1,1,3,1,2,1,NA,1,2,99,1,5,99,99,99,99,99,99,99,99,2,2,1,2,2,2,3,2,2,3,2,2,3,1,1,2,3,2,2,2,99,2,2,2,2,1,1,2,99,2,1,1,2,2,1,1,99,1,2,2,1,1,1,2,99,2,99,1,1,1,1,2,2,1,1,1,4,2,3,2,1,6,1,1,3,2,2,7,1,1,1,1,"44060",0.2266035209
12742,2,99,1,1,1,1,2,2,1,3,2,3,1,3,3,1,3,3,3,3,4,1,2,1,1,1,1,3,1,NA,3,1,1,5,6,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,4,2,3,2,1,1,1,1,1,1,1,NA,1,1,1,2,2,3,2,2,2,2,1,1,2,2,1,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,2,4,1,2,3,1,3,3,1,1,5,2,1,1,2,"19740",0.5129532161
12743,2,1,2,1,99,4,3,2,4,3,2,1,3,3,4,4,4,4,2,99,4,1,1,NA,NA,NA,NA,2,NA,NA,3,1,2,5,3,1,1,1,1,1,1,2,2,3,4,2,4,4,4,4,4,4,4,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,2,99,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,3,3,2,1,1,5,1,1,1,NA,1,8,1,1,1,2,"22220",1.4526655384
12744,1,1,2,1,3,2,3,3,3,3,2,3,3,4,4,2,4,2,3,3,4,1,NA,NA,1,NA,4,4,1,NA,2,1,1,5,3,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,3,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,2,1,2,3,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,2,2,1,5,1,6,2,NA,2,6,2,1,1,1,"41740",0.2276079434
12745,2,1,1,2,2,1,2,2,3,4,2,3,1,1,4,2,4,3,3,3,4,1,1,NA,1,NA,1,1,1,NA,3,1,1,7,4,2,2,2,1,1,2,1,1,1,2,1,2,3,1,2,2,1,1,1,1,2,1,2,3,2,2,2,2,2,2,2,3,NA,NA,2,2,2,1,1,1,3,2,2,1,3,2,2,1,2,2,2,1,2,1,NA,2,2,2,2,1,2,2,2,1,3,2,3,2,1,6,1,1,1,NA,1,99,99,1,1,1,"36740",0.2359385223
12746,2,4,2,2,2,4,2,3,3,4,2,2,3,4,4,2,4,4,4,4,4,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,2,3,5,2,1,1,1,1,1,1,2,1,3,1,4,4,2,4,2,3,2,1,2,2,2,NA,NA,99,NA,2,2,2,2,2,3,NA,NA,1,1,1,2,1,1,1,3,3,2,3,2,1,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,1,4,99,1,2,3,2,3,6,3,99,9,3,3,3,1,2,"44700",6.8361410423
12747,2,3,2,1,1,1,1,2,1,3,1,5,1,2,3,2,3,3,3,3,4,1,2,2,1,3,3,3,1,NA,3,1,1,5,6,1,1,2,1,1,2,2,2,1,1,1,1,1,1,3,1,1,2,1,2,2,1,2,2,2,2,2,2,3,2,1,1,3,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,4,1,3,1,1,5,1,6,3,2,2,6,2,1,0,1,"19740",0.5182341105
12748,2,2,1,1,1,1,1,1,1,3,2,3,1,1,1,1,3,2,2,4,3,1,1,1,1,1,1,1,NA,1,3,1,2,5,7,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,1,99,2,1,1,2,2,2,3,2,2,2,1,2,1,1,2,1,3,2,2,1,2,2,2,1,2,1,2,1,NA,2,1,2,2,2,2,1,1,1,4,1,3,1,1,6,3,1,2,NA,2,7,1,1,1,1,"10740",0.1224982356
12749,2,3,2,1,3,2,3,3,3,2,1,1,2,1,3,2,3,3,3,3,4,1,1,2,1,1,1,2,2,NA,2,2,2,6,1,1,2,1,2,1,1,1,2,2,2,1,3,1,1,2,2,2,3,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,3,2,1,2,2,2,1,2,2,99,2,2,1,3,3,1,2,3,1,1,3,1,1,99,99,1,1,2,"99999",0.6900546071
12750,2,2,2,1,3,1,2,2,1,2,2,3,1,4,3,2,2,2,3,3,4,1,NA,1,1,1,1,1,99,NA,2,2,1,5,7,1,1,1,99,1,1,1,2,2,2,1,3,3,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,3,1,2,2,2,2,1,2,3,2,1,2,2,2,1,2,2,2,2,2,3,1,NA,2,2,1,2,2,1,2,2,1,2,2,4,1,1,6,1,1,3,2,2,6,2,1,1,2,"48620",0.4767841122
12751,2,1,2,1,2,2,1,1,1,2,1,5,3,2,2,2,2,3,2,2,2,2,2,2,1,2,4,4,1,1,2,3,2,1,5,2,2,2,1,1,2,2,2,2,2,1,2,2,2,4,3,3,2,2,2,2,1,3,2,2,NA,3,4,2,3,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,2,2,1,2,2,2,2,2,1,2,1,1,2,3,2,1,6,3,1,2,NA,2,6,2,1,1,1,"35620",0.1462630561
12752,2,1,1,1,1,1,1,2,2,1,1,3,1,2,4,1,3,3,3,2,4,1,1,NA,1,2,2,1,2,NA,2,1,2,5,1,1,1,1,1,1,1,1,2,2,1,1,3,3,1,4,3,3,4,2,1,1,1,1,2,1,NA,2,2,NA,2,2,2,2,1,2,2,2,1,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,3,2,1,5,1,3,3,2,2,7,1,1,1,2,"31080",0.5018913225
12753,2,1,1,1,2,2,1,1,2,3,1,3,1,4,4,4,4,2,3,2,2,1,NA,NA,NA,NA,3,4,1,1,3,3,1,5,1,1,2,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,99,1,3,2,4,2,2,4,1,5,3,1,1,4,2,1,1,2,"12580",0.7659435556
12754,1,1,2,2,2,2,2,2,3,3,1,2,2,3,2,1,3,3,1,3,4,1,1,1,1,1,1,3,2,NA,1,1,2,5,1,2,2,2,1,1,2,1,2,2,2,1,2,3,3,2,4,2,2,3,3,2,1,3,3,3,1,NA,3,2,2,2,2,3,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,1,1,3,2,2,2,1,2,1,2,2,1,2,1,3,2,3,2,1,5,1,1,2,NA,2,6,2,1,1,1,"12420",0.1535397803
12755,2,2,2,1,2,2,2,1,1,3,2,3,1,1,2,1,4,2,2,4,4,1,1,2,1,NA,1,2,NA,NA,1,1,2,6,5,1,2,1,2,2,2,1,2,99,1,1,1,1,1,4,1,3,3,1,NA,2,1,2,2,2,NA,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,3,1,2,3,3,1,4,2,2,8,1,3,1,1,"00001",0.4219921659
12756,2,2,2,2,1,1,2,4,1,1,2,4,1,4,3,4,4,4,4,4,4,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,5,3,2,2,1,2,1,1,2,2,3,2,1,4,4,4,3,4,3,4,2,3,3,1,NA,NA,NA,4,NA,3,NA,4,2,2,2,1,2,2,2,2,1,2,2,3,1,1,3,1,1,2,2,2,2,2,2,1,NA,2,1,2,2,2,2,2,2,1,3,3,4,1,1,6,1,1,2,NA,2,7,1,1,1,1,"00004",0.2112983678
12757,2,2,1,1,1,1,1,1,1,2,1,5,1,3,3,2,2,1,1,3,99,1,1,1,1,2,1,2,2,NA,1,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,NA,2,1,2,2,2,2,1,99,1,3,2,2,1,1,6,2,1,2,NA,2,9,1,1,1,1,"47900",0.615544042
12758,1,1,1,1,1,1,1,2,4,4,2,3,1,1,3,3,4,3,3,4,4,1,1,1,99,NA,1,1,NA,NA,2,1,1,5,2,1,1,1,99,1,1,1,1,2,2,1,2,3,4,1,3,3,3,2,1,1,1,1,1,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99,1,1,3,4,2,3,2,1,5,2,NA,2,3,3,1,1,2,"15380",1.1399912287
12759,2,2,2,2,2,1,2,1,3,4,1,2,2,4,2,2,1,2,2,4,4,1,NA,1,1,1,1,1,NA,NA,1,1,2,2,7,2,2,2,2,2,2,2,2,1,1,1,3,3,1,2,1,2,2,1,3,3,2,3,3,3,3,4,3,3,3,2,2,NA,NA,2,2,2,2,1,1,2,3,1,1,2,2,2,1,1,2,2,2,2,2,4,1,1,2,2,2,2,1,99,1,2,2,3,2,1,5,1,1,1,NA,1,7,1,1,1,1,"00006",0.2063795266
12760,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,3,1,1,2,1,3,4,2,2,1,2,1,1,7,5,1,2,1,1,1,1,1,2,1,1,1,2,3,2,1,3,2,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,3,1,1,2,1,2,2,1,3,1,NA,1,1,2,2,2,2,2,2,2,3,3,4,1,1,6,1,1,3,1,1,5,2,1,1,2,"99999",0.5172513317
12761,1,2,1,1,3,3,2,2,1,1,1,5,2,2,3,3,2,4,3,2,99,1,1,1,1,2,NA,2,2,NA,1,2,1,3,6,2,2,2,2,2,2,1,2,1,3,1,3,2,2,3,2,2,1,1,1,2,1,3,3,2,1,1,2,2,3,2,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,99,1,2,2,1,2,2,3,1,6,3,2,2,1,3,3,1,2,"00005",2.6307810454
12762,1,1,1,1,2,1,1,2,1,3,1,3,1,4,2,1,1,2,1,4,4,1,NA,1,1,2,3,1,NA,NA,2,1,2,5,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,4,2,4,1,1,5,1,1,1,NA,1,7,1,1,1,1,"38060",0.1798299234
12763,2,1,1,1,2,1,1,1,1,1,2,4,3,1,2,1,2,1,2,2,99,3,3,3,1,2,4,4,2,NA,2,3,1,5,6,1,1,1,99,1,1,1,1,2,1,1,2,4,3,4,2,3,3,2,2,2,2,99,NA,2,NA,4,2,3,2,2,1,2,1,2,1,1,1,1,1,3,2,2,2,2,2,1,2,1,2,2,1,2,1,NA,1,2,2,2,2,2,1,99,1,2,1,2,2,2,3,1,6,3,2,2,2,3,1,1,1,"33460",0.3831796923
12764,1,1,2,1,3,2,2,1,2,1,2,4,4,3,4,4,4,2,2,3,4,NA,3,NA,NA,NA,2,2,2,NA,2,1,1,5,6,1,1,1,1,1,1,1,1,1,2,1,2,2,1,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,4,3,2,2,2,3,1,1,2,NA,2,5,2,99,1,1,"29820",0.4284255666
12765,1,1,1,99,2,1,2,2,1,3,2,5,4,2,2,1,4,2,2,3,4,NA,2,2,1,NA,3,3,99,NA,1,1,1,5,7,1,1,99,99,1,2,1,1,2,1,1,2,2,1,4,2,2,3,4,2,1,1,1,1,1,NA,2,1,2,NA,2,1,3,99,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,99,1,NA,1,2,2,1,2,2,1,1,1,4,1,3,2,2,3,1,1,2,NA,2,9,1,1,1,1,"00001",0.4392493381
12766,2,2,2,2,2,2,3,2,3,2,2,3,2,4,4,2,4,2,3,3,3,1,NA,NA,1,NA,2,2,2,1,2,1,2,7,5,1,1,1,2,1,1,1,2,2,2,1,3,2,3,3,3,3,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,99,2,2,2,2,1,2,2,2,2,1,2,99,2,4,2,2,2,2,2,2,2,2,1,4,3,2,1,1,6,1,3,2,NA,2,6,2,1,1,2,"38060",0.8963451658
12767,2,2,1,1,2,2,2,2,1,3,2,5,2,2,2,3,2,2,2,2,4,2,2,2,2,1,1,1,1,NA,1,1,1,5,1,1,1,2,2,1,2,2,2,2,2,1,2,3,2,3,3,3,3,2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,4,1,4,1,2,3,1,1,2,NA,2,4,2,1,1,2,"38900",0.440415824
12768,2,2,1,1,2,2,2,2,1,2,1,3,1,1,3,1,3,1,1,1,4,1,1,2,1,2,1,1,1,NA,2,1,2,7,6,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,NA,2,2,2,2,2,2,2,2,1,3,1,3,2,2,4,1,1,1,NA,1,6,2,1,1,2,"39580",0.4228619173
12769,1,2,1,2,1,1,1,2,4,4,2,1,1,1,2,1,2,3,3,4,4,1,1,1,1,1,1,1,NA,NA,3,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,2,2,2,1,1,1,NA,2,2,2,2,2,2,2,2,1,2,3,4,1,2,3,1,1,3,1,1,99,99,3,1,2,"17140",0.6164109781
12770,2,3,2,1,4,4,4,4,4,3,2,4,4,4,4,3,4,4,2,3,4,NA,NA,NA,3,NA,NA,3,2,NA,3,2,1,7,5,2,1,2,2,2,1,2,3,2,2,2,2,2,4,4,4,2,2,4,2,3,2,2,2,NA,NA,NA,2,2,NA,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,99,1,3,2,1,2,1,5,1,6,1,NA,1,4,2,3,1,2,"00002",1.8746232244
12771,3,3,2,2,3,2,2,2,2,4,2,2,4,3,3,3,3,3,3,4,1,NA,1,1,1,1,1,1,NA,1,2,2,2,3,5,2,2,2,2,2,2,2,4,2,1,1,1,3,2,4,1,3,4,4,2,4,2,2,2,2,NA,2,2,NA,NA,1,2,NA,NA,1,1,2,1,1,2,2,2,3,3,3,1,2,2,2,2,2,2,4,2,3,2,1,2,2,2,2,2,2,1,1,1,3,1,1,5,2,3,3,1,1,1,3,1,0,1,"00004",1.8387053977
12772,2,1,2,2,2,2,2,2,2,1,1,4,2,4,4,2,4,3,3,2,3,1,NA,NA,1,NA,4,2,2,2,1,1,2,3,5,2,1,2,2,2,2,1,2,2,2,1,3,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,99,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2,3,3,1,4,1,1,2,3,3,1,2,"33100",3.4130191808
12773,4,4,1,1,4,4,4,4,4,4,2,1,4,1,1,4,2,1,2,4,4,NA,1,1,NA,1,1,1,NA,NA,3,1,1,7,3,1,1,1,1,1,1,1,4,4,4,3,2,3,4,4,2,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,1,4,1,1,2,2,3,3,6,2,NA,2,2,3,1,1,2,"31080",1.0605122784
12774,1,1,2,2,2,1,2,2,2,4,2,1,3,1,4,2,4,4,4,4,4,1,1,NA,1,NA,NA,NA,NA,NA,3,1,2,6,5,2,2,2,2,1,2,2,2,4,2,2,1,3,1,2,2,3,3,2,NA,2,1,1,2,1,1,3,2,2,2,2,2,NA,NA,2,2,2,1,1,1,1,3,2,1,4,2,2,2,2,1,2,2,1,1,NA,2,1,2,2,2,2,2,2,1,4,2,2,1,1,6,1,1,2,NA,2,9,1,1,1,1,"31080",0.3645603589
12775,1,1,1,1,1,1,2,1,4,4,1,1,1,1,2,1,4,4,4,4,4,1,1,1,1,NA,NA,NA,NA,NA,2,1,2,5,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,3,4,3,4,2,2,1,1,1,1,1,2,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,1,2,1,2,2,2,1,2,1,NA,1,2,1,1,2,2,2,2,1,4,2,4,2,1,6,1,5,2,NA,2,8,1,1,0,2,"41940",0.595197695
12776,1,2,1,1,3,2,2,1,1,3,1,5,3,4,4,3,2,4,3,2,2,2,NA,NA,1,1,NA,4,1,1,2,1,1,5,6,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,3,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,3,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,3,2,2,3,1,6,3,2,2,6,2,1,1,1,"18140",0.1621498686
12777,1,1,1,1,2,2,1,1,2,3,1,5,1,1,1,1,2,3,2,2,2,1,1,2,1,1,3,1,1,1,2,2,1,6,5,1,1,1,1,1,1,1,1,1,2,1,2,3,2,4,3,1,2,2,1,1,1,1,2,1,NA,1,1,1,1,1,2,2,1,2,1,1,2,1,1,3,1,2,1,1,1,2,2,1,2,1,1,2,1,NA,1,1,2,1,2,2,2,1,1,2,1,3,2,1,5,1,6,2,NA,2,6,2,1,1,1,"33460",0.1328898908
12778,1,3,1,1,3,3,2,3,1,2,1,3,2,3,2,2,2,2,3,2,99,1,3,3,1,1,4,1,2,NA,2,1,1,5,3,2,1,99,99,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,3,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,99,1,4,2,2,2,2,4,3,1,99,99,9,8,1,1,1,1,"46520",0.3486973836
12779,2,2,2,1,2,1,2,2,2,4,2,3,1,1,1,2,2,2,4,4,4,1,2,1,1,1,1,NA,NA,NA,3,1,1,2,5,1,1,1,1,1,1,1,1,2,1,2,1,2,2,4,2,2,2,3,2,2,2,2,2,2,NA,2,2,2,2,2,2,NA,NA,2,2,2,2,1,1,1,1,2,1,3,2,1,2,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,1,1,1,2,3,1,1,5,1,1,2,NA,2,9,1,1,1,2,"35620",0.7691052727
12780,2,2,1,1,3,3,1,1,1,4,1,3,1,3,3,2,2,3,1,4,4,1,1,1,1,1,2,2,NA,NA,2,1,1,5,7,1,1,1,1,1,1,1,1,2,2,1,3,4,2,4,3,2,2,2,2,3,1,3,NA,2,NA,3,2,2,2,2,2,NA,NA,2,2,2,2,1,1,1,1,2,2,4,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,99,1,3,1,2,2,3,2,4,1,3,2,2,3,3,1,1,1,"00004",1.6929961277
12781,2,2,1,1,2,1,1,1,2,1,2,3,1,1,2,1,1,2,3,1,3,1,1,1,1,3,1,1,2,1,2,1,2,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,1,1,1,1,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,NA,2,1,2,1,2,2,2,2,1,4,2,3,2,1,6,1,1,2,NA,2,4,2,1,1,1,"42660",0.147131353
12782,2,3,2,99,2,2,2,4,3,2,2,5,4,3,4,4,4,4,2,4,99,NA,2,NA,NA,NA,NA,2,NA,NA,4,NA,1,6,1,99,99,99,99,99,99,99,99,3,3,3,3,4,2,4,3,3,2,2,2,2,1,3,NA,1,NA,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1,99,2,2,2,2,2,2,2,2,2,2,99,2,1,1,1,2,2,2,2,2,99,1,4,2,1,1,2,3,1,6,4,99,9,4,2,3,0,1,"00001",9.2271765336
12783,2,2,1,1,4,4,3,2,4,1,2,4,2,4,4,1,1,4,2,2,4,1,NA,NA,1,3,NA,4,1,NA,1,1,2,5,6,2,2,2,2,1,1,1,2,1,1,1,3,3,1,4,3,2,2,1,1,1,1,2,3,1,NA,99,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2,99,2,2,1,1,1,2,2,2,2,99,1,3,2,1,2,1,6,1,1,1,NA,1,7,1,1,1,2,"47900",1.1131224475
